exp_name,seed,fold,val_f1,val_acc,test_file_f1,test_file_acc,test_seg_f1,test_seg_acc
M5_LA_FF,42,0,0.7591,0.75,0.4437,0.4615,0.5055,0.6377
M5_LA_FF,42,1,0.5238,0.5455,0.4437,0.4615,0.3736,0.4444
M5_LA_FF,42,2,0.8857,0.8889,0.6829,0.6923,0.6069,0.6135
M5_LA_FF,42,3,0.7296,0.7778,0.537,0.5385,0.4739,0.5362
M5_LA_FF,42,4,0.8667,0.8889,0.7435,0.7692,0.6454,0.6908
M5_LA_FF,43,0,0.7591,0.75,0.6339,0.6154,0.4673,0.5507
M5_LA_FF,43,1,0.7111,0.7273,0.2667,0.3077,0.3998,0.4541
M5_LA_FF,43,2,0.8857,0.8889,0.5333,0.5385,0.5544,0.5894
M5_LA_FF,43,3,0.7746,0.7778,0.3718,0.4615,0.485,0.5942
M5_LA_FF,43,4,0.5556,0.5556,0.6053,0.6154,0.6382,0.6522
M5_LA_FF,44,0,0.7157,0.75,0.5,0.6154,0.5349,0.6908
M5_LA_FF,44,1,0.6349,0.6364,0.2063,0.2308,0.3263,0.343
M5_LA_FF,44,2,0.7746,0.7778,0.5778,0.6154,0.6085,0.6232
M5_LA_FF,44,3,0.8667,0.8889,0.3481,0.3846,0.4201,0.4783
M5_LA_FF,44,4,0.6413,0.6667,0.6,0.6154,0.6195,0.6184
M5_LA_FT,42,0,0.832,0.8333,0.3205,0.3846,0.5354,0.6329
M5_LA_FT,42,1,0.5374,0.5455,0.3889,0.3846,0.5106,0.5072
M5_LA_FT,42,2,0.7746,0.7778,0.6829,0.6923,0.6296,0.6425
M5_LA_FT,42,3,0.7746,0.7778,0.1953,0.2308,0.3608,0.401
M5_LA_FT,42,4,0.7746,0.7778,0.7435,0.7692,0.6858,0.7343
