exp_name,data_version,seed,fold,val_f1,val_acc,test_file_f1,test_file_acc,test_seg_f1,test_seg_acc
B0_TopKVote,ds5s_v0,42,0,0.5556,0.6667,0.6053,0.6154,0.4595,0.4725
B0_TopKVote,ds5s_v0,43,0,0.6556,0.6667,0.6204,0.6154,0.5863,0.6193
B0_TopKVote,ds5s_v0,44,0,0.5926,0.5833,0.6111,0.6154,0.5646,0.5826
D1_TopKVote,ds5s_ol060_070_060,42,0,0.7556,0.7500,0.1778,0.2308,0.2388,0.2615
D1_TopKVote,ds5s_ol060_070_060,43,0,0.8296,0.8333,0.6556,0.6923,0.5887,0.5963
D1_TopKVote,ds5s_ol060_070_060,44,0,0.7407,0.7500,0.6515,0.6923,0.4649,0.4725
D4_TopKVote,ds5s_no_undersample,42,0,0.5652,0.5833,0.5238,0.5385,0.4997,0.5183
D4_TopKVote,ds5s_no_undersample,43,0,0.7579,0.7500,0.5476,0.5385,0.3844,0.4266
D4_TopKVote,ds5s_no_undersample,44,0,0.5253,0.6667,0.5390,0.5385,0.4834,0.5092
D5_TopKVote,ds5s_cap20perfile,42,0,0.8056,0.8333,0.1026,0.1538,0.2985,0.3440
D5_TopKVote,ds5s_cap20perfile,43,0,0.8056,0.8333,0.5278,0.5385,0.4835,0.5550
D5_TopKVote,ds5s_cap20perfile,44,0,0.9048,0.9167,0.5152,0.5385,0.4638,0.4908
D6_TopKVote,ds5s_vad003,42,0,0.5556,0.6667,0.6053,0.6154,0.4595,0.4725
D6_TopKVote,ds5s_vad003,43,0,0.6556,0.6667,0.6204,0.6154,0.5863,0.6193
D6_TopKVote,ds5s_vad003,44,0,0.5926,0.5833,0.6111,0.6154,0.5646,0.5826
D7_TopKVote,ds5s_vad008,42,0,0.5556,0.6667,0.6053,0.6154,0.4595,0.4725
D7_TopKVote,ds5s_vad008,43,0,0.6556,0.6667,0.6204,0.6154,0.5863,0.6193
D7_TopKVote,ds5s_vad008,44,0,0.5926,0.5833,0.6111,0.6154,0.5646,0.5826
