exp_name,seed,fold,val_f1,val_acc,test_file_f1,test_file_acc,test_seg_f1,test_seg_acc
Ablation_LR,42,0,0.7231,0.75,0.3194,0.4615,0.2764,0.3578
Ablation_LR,42,1,0.4329,0.5455,0.5152,0.5385,0.3726,0.3991
Ablation_LR,42,2,0.8056,0.7778,0.7222,0.6923,0.58,0.633
Ablation_LR,42,3,0.8667,0.8889,0.3611,0.3846,0.4113,0.5459
Ablation_LR,42,4,0.4481,0.4444,0.4722,0.4615,0.6033,0.6789
Ablation_LR,43,0,0.811,0.8333,0.6337,0.6154,0.5136,0.6376
Ablation_LR,43,1,0.6897,0.7273,0.3444,0.3846,0.4024,0.4679
Ablation_LR,43,2,0.6389,0.6667,0.7746,0.7692,0.6037,0.6514
Ablation_LR,43,3,0.7833,0.7778,0.1667,0.1538,0.3054,0.367
Ablation_LR,43,4,0.6794,0.6667,0.6167,0.6154,0.6835,0.7523
Ablation_LR,44,0,0.7407,0.75,0.5333,0.5385,0.4637,0.5046
Ablation_LR,44,1,0.4889,0.5455,0.4397,0.4615,0.4224,0.4771
Ablation_LR,44,2,0.8056,0.7778,0.7758,0.7692,0.5183,0.5229
Ablation_LR,44,3,0.6429,0.6667,0.6111,0.6154,0.4506,0.5229
Ablation_LR,44,4,0.4349,0.4444,0.546,0.5385,0.5603,0.5688
Ablation_LR_Sampler,42,0,0.7231,0.75,0.3194,0.4615,0.2764,0.3578
Ablation_LR_Sampler,42,1,0.4329,0.5455,0.5152,0.5385,0.3726,0.3991
Ablation_LR_Sampler,42,2,0.8056,0.7778,0.7222,0.6923,0.58,0.633
Ablation_LR_Sampler,42,3,0.8667,0.8889,0.3611,0.3846,0.4113,0.5459
Ablation_LR_Sampler,42,4,0.4481,0.4444,0.4722,0.4615,0.6033,0.6789
Ablation_LR_Sampler,43,0,0.811,0.8333,0.6337,0.6154,0.5136,0.6376
Ablation_LR_Sampler,43,1,0.6897,0.7273,0.3444,0.3846,0.4024,0.4679
Ablation_LR_Sampler,43,2,0.6389,0.6667,0.7746,0.7692,0.6037,0.6514
Ablation_LR_Sampler,43,3,0.7833,0.7778,0.1667,0.1538,0.3054,0.367
Ablation_LR_Sampler,43,4,0.6794,0.6667,0.6167,0.6154,0.6835,0.7523
Ablation_LR_Sampler,44,0,0.7407,0.75,0.5333,0.5385,0.4637,0.5046
Ablation_LR_Sampler,44,1,0.4889,0.5455,0.4397,0.4615,0.4224,0.4771
Ablation_LR_Sampler,44,2,0.8056,0.7778,0.7758,0.7692,0.5183,0.5229
Ablation_LR_Sampler,44,3,0.6429,0.6667,0.6111,0.6154,0.4506,0.5229
Ablation_LR_Sampler,44,4,0.4349,0.4444,0.546,0.5385,0.5603,0.5688
Ablation_LR_Sampler_TopK_Vote,42,0,0.7389,0.75,0.5556,0.5385,0.5549,0.6101
Ablation_LR_Sampler_TopK_Vote,42,1,0.4889,0.5455,0.5238,0.5385,0.4022,0.422
Ablation_LR_Sampler_TopK_Vote,42,2,0.8056,0.7778,0.6948,0.6923,0.58,0.633
Ablation_LR_Sampler_TopK_Vote,42,3,0.8963,0.8889,0.55,0.5385,0.5029,0.5275
Ablation_LR_Sampler_TopK_Vote,42,4,0.4481,0.4444,0.6948,0.6923,0.6167,0.6606
Ablation_LR_Sampler_TopK_Vote,43,0,0.9048,0.9167,0.7111,0.6923,0.5095,0.5459
Ablation_LR_Sampler_TopK_Vote,43,1,0.6111,0.6364,0.4218,0.4615,0.4024,0.4679
Ablation_LR_Sampler_TopK_Vote,43,2,0.6389,0.6667,0.7746,0.7692,0.6037,0.6514
Ablation_LR_Sampler_TopK_Vote,43,3,0.8413,0.8889,0.3651,0.3846,0.339,0.4312
Ablation_LR_Sampler_TopK_Vote,43,4,0.5556,0.5556,0.6167,0.6154,0.6835,0.7523
Ablation_LR_Sampler_TopK_Vote,44,0,0.6534,0.6667,0.539,0.5385,0.4372,0.4908
Ablation_LR_Sampler_TopK_Vote,44,1,0.4222,0.4545,0.5885,0.6154,0.4829,0.4954
Ablation_LR_Sampler_TopK_Vote,44,2,0.7746,0.7778,0.6869,0.6923,0.5526,0.5734
Ablation_LR_Sampler_TopK_Vote,44,3,0.8667,0.8889,0.3968,0.3846,0.4083,0.4679
Ablation_LR_Sampler_TopK_Vote,44,4,0.4444,0.4444,0.4784,0.4615,0.5156,0.578
Ablation_LR_Sampler_Entropy_Vote,42,0,0.8056,0.8333,0.5152,0.5385,0.48,0.4908
Ablation_LR_Sampler_Entropy_Vote,42,1,0.3333,0.4545,0.4397,0.4615,0.4033,0.4404
Ablation_LR_Sampler_Entropy_Vote,42,2,0.8056,0.7778,0.6948,0.6923,0.58,0.633
Ablation_LR_Sampler_Entropy_Vote,42,3,0.8963,0.8889,0.4784,0.4615,0.5406,0.5826
